trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_booking_rule_id,drop_off_booking_rule_id,start_pickup_dropoff_window,end_pickup_dropoff_window,mean_duration_factor,mean_duration_offset,safe_duration_factor,safe_duration_offset,tts_stop_headsign,min_arrival_time,max_departure_time
Midday-Shuttle:-Tripper_Loop-M-20210816-20220529_1_14:50,14:50:00,14:50:00,2619678,1,Library/Downtown,0,0,0,1,,,,,1,1,,,,,,,,,,,
Midday-Shuttle:-Tripper_Loop-M-20210816-20220529_1_14:50,,,2619679,2,Library/Downtown,0,0,731.872375886029,0,,,,,1,1,,,,,,,,,,,
Midday-Shuttle:-Tripper_Loop-M-20210816-20220529_1_14:50,,,2619680,3,Library/Downtown,0,0,1130.90050168269,0,,,,,1,1,,,,,,,,,,,
Midday-Shuttle:-Tripper_Loop-M-20210816-20220529_1_14:50,,,2619681,4,Library/Downtown,0,0,2140.7219529954,0,,,,,1,1,,,,,,,,,,,
Midday-Shuttle:-Tripper_Loop-M-20210816-20220529_1_14:50,14:55:00,14:55:00,2619571,5,Glendora High School,0,0,2557.3754316561,1,,,,,1,1,,,,,,,,,,,
Midday-Shuttle:-Tripper_Loop-M-20210816-20220529_1_14:50,15:00:00,15:00:00,2619611,6,Glendora High School,0,0,4648.61632044167,1,,,,,1,1,,,,,,,,,,,
Midday-Shuttle:-Tripper_Loop-M-20210816-20220529_1_14:50,15:05:00,15:05:00,2619576,7,Glendora High School,0,0,6238.42611883878,1,,,,,1,1,,,,,,,,,,,
Midday-Shuttle:-Tripper_Loop-M-20210816-20220529_1_14:50,15:15:00,15:15:00,2619678,8,Glendora High School,0,0,11360.6923895,1,,,,,1,1,,,,,,,,,,,
Midday-Shuttle:-Tripper_Loop-M-20220906-20221231_1_14:50,14:50:00,14:50:00,2619678,1,Library/Downtown,0,0,0,1,,,,,1,1,,,,,,,,,,,
Midday-Shuttle:-Tripper_Loop-M-20220906-20221231_1_14:50,,,2619679,2,Library/Downtown,0,0,731.872375886029,0,,,,,1,1,,,,,,,,,,,
